RNA-Seq-SJHGG001_A	EGAN00001632273	SJHGG001_A.bam.cip	EGAF00001809725
RNA-Seq-SJHGG002_A	EGAN00001632274	SJHGG002_A.bam.cip	EGAF00001809726
RNA-Seq-SJHGG002_D	EGAN00001632275	SJHGG002_D.bam.cip	EGAF00001809727
RNA-Seq-SJHGG003_A	EGAN00001632276	SJHGG003_A.bam.cip	EGAF00001809728
RNA-Seq-SJHGG003_D	EGAN00001632277	SJHGG003_D.bam.cip	EGAF00001809729
RNA-Seq-SJHGG004_D	EGAN00001632278	SJHGG004_D.bam.cip	EGAF00001809730
RNA-Seq-SJHGG005_A	EGAN00001632279	SJHGG005_A.bam.cip	EGAF00001809731
RNA-Seq-SJHGG006_A	EGAN00001632280	SJHGG006_A.bam.cip	EGAF00001809732
RNA-Seq-SJHGG007_A	EGAN00001632281	SJHGG007_A.bam.cip	EGAF00001809733
RNA-Seq-SJHGG008_A	EGAN00001632282	SJHGG008_A.bam.cip	EGAF00001809734
RNA-Seq-SJHGG009_A	EGAN00001632283	SJHGG009_A.bam.cip	EGAF00001809735
RNA-Seq-SJHGG010_D	EGAN00001632284	SJHGG010_D.bam.cip	EGAF00001809736
RNA-Seq-SJHGG011_D	EGAN00001632285	SJHGG011_D.bam.cip	EGAF00001809737
RNA-Seq-SJHGG012_D	EGAN00001632286	SJHGG012_D.bam.cip	EGAF00001809738
RNA-Seq-SJHGG014_D	EGAN00001632287	SJHGG014_D.bam.cip	EGAF00001809739
RNA-Seq-SJHGG015_D	EGAN00001632288	SJHGG015_D.bam.cip	EGAF00001809740
RNA-Seq-SJHGG016_D	EGAN00001632289	SJHGG016_D.bam.cip	EGAF00001809741
RNA-Seq-SJHGG017_D	EGAN00001632290	SJHGG017_D.bam.cip	EGAF00001809742
RNA-Seq-SJHGG019_S	EGAN00001632291	SJHGG019_S.bam.cip	EGAF00001809743
RNA-Seq-SJHGG021_D	EGAN00001632292	SJHGG021_D.bam.cip	EGAF00001809744
RNA-Seq-SJHGG024_D	EGAN00001632293	SJHGG024_D.bam.cip	EGAF00001809745
RNA-Seq-SJHGG024_R	EGAN00001632294	SJHGG024_R.bam.cip	EGAF00001809746
RNA-Seq-SJHGG026_D	EGAN00001632295	SJHGG026_D.bam.cip	EGAF00001809747
RNA-Seq-SJHGG027_D	EGAN00001632296	SJHGG027_D.bam.cip	EGAF00001809748
RNA-Seq-SJHGG028_D	EGAN00001632297	SJHGG028_D.bam.cip	EGAF00001809749
RNA-Seq-SJHGG031_D	EGAN00001632298	SJHGG031_D.bam.cip	EGAF00001809750
RNA-Seq-SJHGG032_D	EGAN00001632299	SJHGG032_D.bam.cip	EGAF00001809751
RNA-Seq-SJHGG033_D	EGAN00001632300	SJHGG033_D.bam.cip	EGAF00001809752
RNA-Seq-SJHGG034_D	EGAN00001632301	SJHGG034_D.bam.cip	EGAF00001809753
RNA-Seq-SJHGG035_D	EGAN00001632302	SJHGG035_D.bam.cip	EGAF00001809754
RNA-Seq-SJHGG041_D	EGAN00001632303	SJHGG041_D.bam.cip	EGAF00001809755
RNA-Seq-SJHGG042_D	EGAN00001632304	SJHGG042_D.bam.cip	EGAF00001809756
RNA-Seq-SJHGG043_D	EGAN00001632305	SJHGG043_D.bam.cip	EGAF00001809757
RNA-Seq-SJHGG060_A	EGAN00001632306	SJHGG060_A.bam.cip	EGAF00001809758
RNA-Seq-SJHGG062_A	EGAN00001632307	SJHGG062_A.bam.cip	EGAF00001809759
RNA-Seq-SJHGG064_A	EGAN00001632308	SJHGG064_A.bam.cip	EGAF00001809760
RNA-Seq-SJHGG066_A	EGAN00001632309	SJHGG066_A.bam.cip	EGAF00001809761
RNA-Seq-SJHGG070_A	EGAN00001632310	SJHGG070_A.bam.cip	EGAF00001809762
RNA-Seq-SJHGG073_A	EGAN00001632311	SJHGG073_A.bam.cip	EGAF00001809763
RNA-Seq-SJHGG075_A	EGAN00001632312	SJHGG075_A.bam.cip	EGAF00001809764
RNA-Seq-SJHGG081_D	EGAN00001632313	SJHGG081_D.bam.cip	EGAF00001809765
RNA-Seq-SJHGG082_D	EGAN00001632314	SJHGG082_D.bam.cip	EGAF00001809766
RNA-Seq-SJHGG089_A	EGAN00001632315	SJHGG089_A.bam.cip	EGAF00001809767
RNA-Seq-SJHGG090_D	EGAN00001632316	SJHGG090_D.bam.cip	EGAF00001809768
RNA-Seq-SJHGG099_D	EGAN00001632317	SJHGG099_D.bam.cip	EGAF00001809769
RNA-Seq-SJHGG101_A	EGAN00001632318	SJHGG101_A.bam.cip	EGAF00001809770
RNA-Seq-SJHGG102_D	EGAN00001632319	SJHGG102_D.bam.cip	EGAF00001809771
RNA-Seq-SJHGG103_D	EGAN00001632320	SJHGG103_D.bam.cip	EGAF00001809772
RNA-Seq-SJHGG107_D	EGAN00001632321	SJHGG107_D.bam.cip	EGAF00001809773
RNA-Seq-SJHGG112_D	EGAN00001632322	SJHGG112_D.bam.cip	EGAF00001809774
RNA-Seq-SJHGG112_R	EGAN00001632323	SJHGG112_R.bam.cip	EGAF00001809775
RNA-Seq-SJHGG115_D	EGAN00001632324	SJHGG115_D.bam.cip	EGAF00001809776
RNA-Seq-SJHGG115_R	EGAN00001632325	SJHGG115_R.bam.cip	EGAF00001809777
RNA-Seq-SJHGG127_D	EGAN00001632326	SJHGG127_D.bam.cip	EGAF00001809778
RNA-Seq-SJHGG129_D	EGAN00001632327	SJHGG129_D.bam.cip	EGAF00001809779
RNA-Seq-SJHGG136_D	EGAN00001632328	SJHGG136_D.bam.cip	EGAF00001809780
RNA-Seq-SJHGG137_D	EGAN00001632329	SJHGG137_D.bam.cip	EGAF00001809781
RNA-Seq-SJHGG138_D	EGAN00001632330	SJHGG138_D.bam.cip	EGAF00001809782
RNA-Seq-SJHGG139_D	EGAN00001632331	SJHGG139_D.bam.cip	EGAF00001809783
RNA-Seq-SJHGG140_D	EGAN00001632332	SJHGG140_D.bam.cip	EGAF00001809784
RNA-Seq-SJHGG141_D	EGAN00001632333	SJHGG141_D.bam.cip	EGAF00001809785
RNA-Seq-SJHGG142_D	EGAN00001632334	SJHGG142_D.bam.cip	EGAF00001809786
